Date,spx
05/03/2020,3023.94
04/03/2020,3130.12
03/03/2020,3003.37
02/03/2020,3090.23
28/02/2020,2954.22
27/02/2020,2978.76
26/02/2020,3116.39
25/02/2020,3128.21
24/02/2020,3225.89
21/02/2020,3337.75
20/02/2020,3373.23
19/02/2020,3386.15
18/02/2020,3370.29
14/02/2020,3380.16
13/02/2020,3373.94
12/02/2020,3379.45
11/02/2020,3357.75
10/02/2020,3352.09
07/02/2020,3327.71
06/02/2020,3345.78
05/02/2020,3334.69
04/02/2020,3297.59
03/02/2020,3248.92
31/01/2020,3225.52
30/01/2020,3283.66
29/01/2020,3273.4
28/01/2020,3276.24
27/01/2020,3243.63
24/01/2020,3295.47
23/01/2020,3325.54
22/01/2020,3321.75
21/01/2020,3320.79
17/01/2020,3329.62
16/01/2020,3316.81
15/01/2020,3289.29
14/01/2020,3283.15
13/01/2020,3288.13
10/01/2020,3265.35
09/01/2020,3274.7
08/01/2020,3253.05
07/01/2020,3237.18
06/01/2020,3246.28
03/01/2020,3234.85
02/01/2020,3257.85
31/12/2019,3230.78
30/12/2019,3221.29
27/12/2019,3240.02
26/12/2019,3239.91
24/12/2019,3223.38
23/12/2019,3224.01
20/12/2019,3221.22
19/12/2019,3205.37
18/12/2019,3191.14
17/12/2019,3192.52
16/12/2019,3191.45
13/12/2019,3168.8
12/12/2019,3168.57
11/12/2019,3141.63
10/12/2019,3132.52
09/12/2019,3135.96
06/12/2019,3145.91
05/12/2019,3117.43
04/12/2019,3112.76
03/12/2019,3093.2
02/12/2019,3113.87
29/11/2019,3140.98
27/11/2019,3153.63
26/11/2019,3140.52
25/11/2019,3133.64
22/11/2019,3110.29
21/11/2019,3103.54
20/11/2019,3108.46
19/11/2019,3120.18
18/11/2019,3122.03
15/11/2019,3120.46
14/11/2019,3096.63
13/11/2019,3094.04
12/11/2019,3091.84
11/11/2019,3087.01
08/11/2019,3093.08
07/11/2019,3085.18
06/11/2019,3076.78
05/11/2019,3074.62
04/11/2019,3078.27
01/11/2019,3066.91
31/10/2019,3037.56
30/10/2019,3046.77
29/10/2019,3036.89
28/10/2019,3039.42
25/10/2019,3022.55
24/10/2019,3010.29
23/10/2019,3004.52
22/10/2019,2995.99
21/10/2019,3006.72
18/10/2019,2986.2
17/10/2019,2997.95
16/10/2019,2989.69
15/10/2019,2995.68
14/10/2019,2966.15
11/10/2019,2970.27
10/10/2019,2938.13
