Date,ftse
26/05/2021,7026.93
25/05/2021,7029.79
24/05/2021,7051.59
21/05/2021,7018.05
20/05/2021,7019.79
19/05/2021,6950.2
18/05/2021,7034.24
17/05/2021,7032.85
14/05/2021,7043.61
13/05/2021,6963.33
12/5/2021,7004.63
11/5/2021,6947.99
10/5/2021,7123.68
7/5/2021,7129.71
6/5/2021,7076.17
5/5/2021,7039.3
4/5/2021,6923.17
30/04/2021,6969.81
29/04/2021,6961.48
28/04/2021,6963.67
27/04/2021,6944.97
26/04/2021,6963.12
23/04/2021,6938.56
22/04/2021,6938.24
21/04/2021,6895.29
20/04/2021,6859.87
19/04/2021,7000.08
16/04/2021,7019.53
15/04/2021,6983.5
14/04/2021,6939.58
13/04/2021,6890.49
12/4/2021,6889.12
9/4/2021,6915.75
8/4/2021,6942.22
7/4/2021,6885.32
6/4/2021,6823.55
1/4/2021,6737.3
31/03/2021,6713.63
30/03/2021,6772.12
29/03/2021,6736.17
26/03/2021,6740.59
25/03/2021,6674.83
24/03/2021,6712.89
23/03/2021,6699.19
22/03/2021,6726.1
19/03/2021,6708.71
18/03/2021,6779.68
17/03/2021,6762.67
16/03/2021,6803.61
15/03/2021,6749.7
12/3/2021,6761.47
11/3/2021,6736.96
10/3/2021,6725.6
9/3/2021,6730.34
8/3/2021,6719.13
5/3/2021,6630.52
4/3/2021,6650.88
3/3/2021,6675.47
2/3/2021,6613.75
1/3/2021,6588.53
26/02/2021,6483.43
25/02/2021,6651.96
24/02/2021,6658.97
23/02/2021,6625.94
22/02/2021,6612.24
19/02/2021,6624.02
18/02/2021,6617.15
17/02/2021,6710.9
16/02/2021,6748.86
15/02/2021,6756.11
12/2/2021,6589.79
11/2/2021,6528.72
10/2/2021,6524.36
9/2/2021,6531.56
8/2/2021,6523.53
5/2/2021,6489.33
4/2/2021,6503.72
3/2/2021,6507.82
2/2/2021,6516.65
1/2/2021,6466.42
29/01/2021,6407.46
28/01/2021,6526.15
27/01/2021,6567.37
26/01/2021,6654.01
25/01/2021,6638.85
22/01/2021,6695.07
21/01/2021,6715.42
20/01/2021,6740.39
19/01/2021,6712.95
18/01/2021,6720.65
15/01/2021,6735.71
14/01/2021,6801.96
13/01/2021,6745.52
12/1/2021,6754.11
11/1/2021,6798.48
8/1/2021,6873.26
7/1/2021,6856.96
6/1/2021,6841.86
5/1/2021,6612.25
4/1/2021,6571.88
31/12/2020,6460.52
30/12/2020,6555.82
29/12/2020,6602.65
24/12/2020,6502.11
23/12/2020,6495.75
22/12/2020,6453.16
21/12/2020,6416.32
18/12/2020,6529.18
17/12/2020,6551.06
16/12/2020,6570.91
15/12/2020,6513.32
14/12/2020,6531.83
11/12/2020,6546.75
10/12/2020,6599.76
9/12/2020,6564.29
8/12/2020,6558.82
7/12/2020,6555.39
4/12/2020,6550.23
3/12/2020,6490.27
2/12/2020,6463.39
1/12/2020,6384.73
30/11/2020,6266.19
27/11/2020,6367.58
26/11/2020,6362.93
25/11/2020,6391.09
24/11/2020,6432.17
23/11/2020,6333.84
20/11/2020,6351.45
19/11/2020,6334.35
18/11/2020,6385.24
17/11/2020,6365.33
